id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
7	artificial intelligence	0.8677	0.1784	3	5	7	6	2022.5
13	attention mechanism	-0.7578	0.8076	1	3	5	3	2024.6667
32	computer vision	-0.5059	-0.6116	2	5	7	3	2022
38	convolutional neural network	0.0876	-0.4343	1	7	17	13	2021.4615
47	deep learning	-0.0516	0.0468	1	13	44	30	2022.7
52	defect detection	-0.3295	0.4508	1	8	23	21	2022.8095
89	image processing	0.7812	-0.5717	3	3	3	3	2022.6667
98	industrial inspection	-0.836	-0.5136	2	5	7	3	2022.6667
119	machine learning	0.735	-0.0019	3	3	4	3	2023.3333
120	machine vision	-0.4506	0.187	1	8	16	9	2022.2222
156	quality assurance	0.8627	-0.2233	3	5	7	4	2021.25
157	quality control	-0.2344	-0.2215	2	7	10	7	2023
194	surface defect detection	0.1355	0.4568	4	5	7	6	2024.3333
199	transfer learning	-0.7782	-0.2433	2	5	6	6	2022.5
216	yolo	0.4743	0.6938	4	4	7	5	2024.2
